Symbol,Final Weighted Rating,PEG,GPM,ROA,ROE,Gross Profit Growth,Net Income Growth,EPS Growth,Unweighted Rating
LNC,377.3145483542084,0.873352754448329,0.5868241597661958,0.005503996350793401,0.11435540069686412,0.0594701549962,-0.210678210678,-0.188034188034,4
BAK,116.7700783784902,1.3989029281488166,0.19945987461419154,0.04808312567711505,0.4329535589115007,-0.2454,-0.3758,276.6061,5
HZN,50.93921619797094,1.7337104496550524,0.16928054591446556,-0.39121511460631053,3.2008788449466414,-0.306936416185,56.4535211268,57.1428571429,3
SD,42.91792300946409,1.0434714417206887,0.0,-0.7393666826287789,-1.116418852434576,0.0,48.5101928375,47.7692307692,4
MS,18.21391216943205,1.6223752665885671,-0.0,0.01009795304820371,0.11087812235588419,0.0,0.0336076817558,0.0935550935551,5
ITIC,15.748184807805197,0.8313042761071329,0.9807522533814346,0.11920740603199023,0.16439000428507228,0.149299768186,0.436963274255,0.465517241379,5
MTB,15.24068815895644,0.8335949288114802,1.0,0.016093306338153212,0.1227455674552508,0.00848051763533,0.00577087504171,0.0792156862745,5
DDS,12.868944185338828,1.2298710229847072,0.3174655089247094,0.049619554177938896,0.10144478518286372,0.0013648433995,-0.230707017766,-0.170439414115,4
OCUL,12.236511847750965,1.7369309098360137,0.44996451383960256,-1.0969265938531878,23.793939393939393,0.247213114754,0.44006135583,0.216560509554,4
VSTO,12.009600707295768,0.805424079405932,0.2019345862674688,-0.37309230084987366,-1.0646969000394062,-0.202076159106,9.76575574445,9.73333333333,4
LBY,11.8703868550671,1.5835088196308964,0.1962940522045514,-0.09766558603738289,2.6765036646372202,-0.004403096371,7.67508798391,7.55555555556,4
SGOC,11.745464288280298,1.7515644095596212,-0.6677215189873418,-0.06482883657075786,-0.08960737022792951,0.1834,-0.1033,0.6465,4
AER,11.526541682921478,1.144230716558006,0.9069814874228642,0.023505149342444725,0.1150460441538152,-0.0325,-0.0562,0.0479,5
UAL,10.659850015741323,0.8128887113514632,1.0,0.05719336260477847,0.26094874685630043,0.0473573348183,0.413339596054,0.504527813713,5
ECPG,10.549769944306806,1.7524841776958533,1.0,0.03418955386511064,0.1642243685879281,0.0,0.448570146523,0.315403422983,5
W,10.101321839509978,1.764709815717643,0.23527101890565602,-0.33341279925013073,1.0427617643570062,0.353312455923,0.953229646088,0.896980461812,3
BPMC,10.098552681177233,1.7857945786097402,1.0,-0.49130556426930283,-0.7487611955405193,0.493946676849,0.469282713973,0.34879406308,3
ORLY,9.717801267331975,1.3506706843671195,0.5314974357104961,0.12979576678896274,3.5008858911763228,0.0703824192465,0.0502496438244,0.110633066994,5
OMP,9.575913116867978,1.0675449892315028,0.8870098904980572,0.10189586799333836,0.40242158908232717,0.0645595972595,1.35053441215,0.873626373626,5
AR,9.32709356273087,1.2151116988494484,0.8752885777861451,-0.02238048730030441,-0.04879379429136894,0.117358235867,-0.144366152894,-0.119047619048,4
ANAT,9.054666963071808,0.8196524923175091,0.8400149577054172,0.021692860154601968,0.1035707840178278,0.31024406545,2.90177678543,2.90524534687,4
GBL,8.909032386825483,1.3676582821817778,1.0,0.4314009458306563,1.497103276860939,-0.0851854563559,-0.301025632274,-0.267156862745,5
HSC,8.89130694354529,1.3845690946699019,0.797083542256584,0.21285154133088233,0.6795207529868659,0.273150990493,2.67671114938,2.72352941176,5
BIO,8.729884858901492,1.6315464894948024,0.5342635564106988,0.06515693625527262,0.09093778596836927,0.027670336696,3.81044857768,3.8106122449,4
ABG,8.704375354765798,1.1708842804204114,0.1621153072687683,0.06333940164187819,0.2853164165248337,0.0597461468722,0.097619047619,0.154306220096,5
PSTI,8.516343749287541,0.9233908191256005,0.9629629629629629,-1.1276588949217503,-1.6180285046514826,0.0833333333333,0.351412386129,10.6,4
ANTM,8.434135663332887,0.9628938726856666,0.9808853022175736,0.06206344492789175,0.15150655572365104,4.05794161306,0.281866666667,0.294562973159,4
LGIH,8.281508293558904,1.5831826505498894,0.23745507721333467,0.10720028329377024,0.21132214772247285,0.148882910959,0.150187396159,0.117561683599,5
FLXN,8.259446544890107,0.9972710209325716,0.863481228668942,-0.6884215848501563,7.448428486174657,3.14781406373,-0.117211583235,-0.124721603563,4
CBD,8.121380483451972,1.4175678264386697,0.23394346804892022,0.022327764006887085,0.0846545663246982,-0.1027,0.2416,0.7452,4
COF,8.106305577181509,1.747699686597499,0.0,0.01614600389758897,0.11641635054579237,0.0,2.03481331988,2.38068181818,4
SHLX,7.979355553909676,1.2840583158671397,0.8707753479125249,0.26151560178306094,-0.7049399198931909,0.0498561840844,0.137685843568,0.106666666667,4
ALL,7.880138686478843,1.1829938361829349,1.0,0.04040850354314297,0.1864374182629433,0.122064548537,1.15230905861,1.35537190083,5
HTBX,7.868524243953036,0.879240403533016,0.0,-0.7711943264022331,-1.4749598463025957,0.0,0.0,0.0,3
VMW,7.76729660955944,1.3498464943974577,0.9846452687077976,0.24385791435308435,0.9148237979740333,0.212000455425,1.64739884393,1.58754208754,5
STX,7.756786001664006,1.598716684663592,0.2821944177093359,0.22644907146876758,0.9306197964847364,-0.128418549346,0.702199661591,0.739024390244,5
IBKC,7.653750206573962,1.452259246984798,1.0,0.012113314697707125,0.08858163770247379,0.15308402137,0.037558507923,0.0723076923077,5
SIVB,7.5696273310750914,1.5097436157818882,0.0,0.017106526827520084,0.19034406139389537,0.0,0.985378364383,0.966773847803,4
CNBKA,7.5557116773773085,0.8051871527223713,1.0,0.007227956181095997,0.11936640998734142,0.0347066194262,0.0962637726783,0.0937896070976,5
