Symbol,Final Weighted Rating,DCF/P,PEG,Dividend Payout Ratio,P/FV,Unweighted Rating
CPB,1.403,1.002,65.922,0.035,10.935,5.0
VICR,1.398,1.054,149.283,0.0,8.054,5.0
NSA,1.397,1.013,1992.044,0.039,2.091,5.0
ROK,1.391,1.056,5.568,0.026,43.383,5.0
WWE,1.348,1.03,48.968,0.008,17.464,5.0
ROL,1.332,1.008,80.679,0.013,14.227,5.0
COR,1.324,1.001,25.637,0.054,26.054,5.0
MCO,1.318,1.043,4.333,0.009,69.657,5.0
CSCO,1.247,1.068,851.336,0.024,7.336,5.0
SLP,1.201,1.019,166.574,0.006,19.381,5.0
SPGI,1.201,1.048,3.798,0.009,134.324,5.0
SWCH,1.17,1.007,2513.841,0.008,5.723,5.0
DEO,1.025,1.01,121.401,0.004,54.183,5.0
NSP,0.86,1.236,6.166,0.015,769.632,5.0
