Symbol,Final Weighted Rating,DCF/P,PEG,Dividend Payout Ratio,P/FV,Unweighted Rating
ATI,2.154,1.372,6.508,0.005,1.418,5.0
WBS,2.154,1.096,2.965,0.032,1.393,5.0
MTG,2.152,1.054,3.885,0.008,1.154,5.0
BSRR,2.152,1.302,5.979,0.027,1.348,5.0
ALB,2.151,1.105,1.974,0.022,1.752,5.0
BHB,2.151,1.196,8.172,0.034,0.988,5.0
HOMB,2.15,1.247,6.054,0.027,1.249,5.0
KSS,2.147,1.261,2.594,0.037,1.969,5.0
CIX,2.147,1.356,9.702,0.018,1.179,5.0
KBH,2.146,1.27,6.035,0.006,1.318,5.0
HOFT,2.146,1.059,3.475,0.02,1.265,5.0
FHN,2.146,1.141,6.525,0.034,1.046,5.0
CVCY,2.144,1.323,8.263,0.021,1.233,5.0
PFS,2.143,1.216,7.547,0.047,1.102,5.0
BY,2.14,1.192,10.79,0.002,0.906,5.0
CARO,2.139,1.241,6.6,0.009,1.248,5.0
SAMG,2.139,1.647,11.823,0.048,1.721,5.0
BMTC,2.137,1.1,4.192,0.026,1.282,5.0
AMNB,2.136,1.324,8.861,0.028,1.24,5.0
EVR,2.135,1.315,1.09,0.032,3.516,5.0
FHB,2.134,1.318,6.687,0.037,1.431,5.0
FNHC,2.134,1.975,165.142,0.022,0.772,5.0
VSEC,2.133,1.004,3.688,0.009,1.204,5.0
PWOD,2.133,1.333,6.854,0.04,1.448,5.0
WAL,2.133,1.137,2.532,0.01,1.778,5.0
WAFD,2.133,1.211,5.264,0.023,1.379,5.0
WASH,2.132,1.225,3.303,0.038,1.791,5.0
CSFL,2.13,1.237,10.244,0.017,1.041,5.0
FFIC,2.129,1.132,7.597,0.04,1.038,5.0
CSWC,2.129,1.046,4.916,0.115,1.137,5.0
CAC,2.128,1.068,3.401,0.028,1.415,5.0
WD,2.127,1.092,2.09,0.019,1.889,5.0
KEY,2.122,1.065,5.855,0.043,1.11,5.0
HFWA,2.12,1.321,10.314,0.031,1.243,5.0
WIRE,2.118,1.259,5.574,0.001,1.555,5.0
NYCB,2.118,1.168,15.315,0.058,0.818,5.0
CENT,2.115,1.33,7.459,0.0,1.513,5.0
COLB,2.111,1.136,5.968,0.037,1.29,5.0
LAD,2.111,1.043,1.189,0.007,2.518,5.0
BWFG,2.104,1.052,5.48,0.018,1.23,5.0
BKSC,2.104,1.618,11.231,0.039,2.014,5.0
TMP,2.103,1.137,2.852,0.024,1.945,5.0
DHI,2.102,1.107,2.925,0.012,1.851,5.0
HSC,2.1,1.111,1.96,0.003,2.293,5.0
SPR,2.099,1.755,2.815,-0.006,5.045,5.0
DCOM,2.099,1.318,13.678,0.028,1.193,5.0
FBNC,2.099,1.003,4.143,0.012,1.352,5.0
HBNC,2.098,1.235,9.987,0.026,1.237,5.0
SFBS,2.096,1.422,5.101,0.012,2.312,5.0
HPE,2.095,1.28,13.399,0.031,1.159,5.0
SXI,2.095,1.166,4.137,0.012,1.761,5.0
FIBK,2.094,1.084,5.823,0.03,1.317,5.0
SAFT,2.093,1.038,2.692,0.036,1.815,5.0
SCHW,2.091,1.661,6.559,0.016,2.989,5.0
MBWM,2.089,1.018,4.543,0.03,1.382,5.0
MPW,2.085,1.193,9.844,0.052,1.249,5.0
UHS,2.085,1.008,1.734,0.004,2.255,5.0
AYI,2.085,1.14,1.787,0.004,2.71,5.0
CHCO,2.084,1.136,3.376,0.027,1.967,5.0
CIZN,2.081,1.158,14.46,0.043,0.997,5.0
AMP,2.079,1.052,0.736,0.023,3.805,5.0
FNLC,2.079,1.067,5.474,0.043,1.431,5.0
UVE,2.078,1.311,6.06,0.027,1.971,5.0
NBHC,2.077,1.15,6.979,0.021,1.441,5.0
FOXA,2.076,1.231,3.895,0.009,2.199,5.0
HAFC,2.076,1.053,9.717,0.05,1.065,5.0
WBA,2.074,1.025,2.295,0.033,2.119,5.0
EML,2.074,1.142,5.552,0.016,1.625,5.0
BXMT,2.073,1.055,7.108,0.067,1.265,5.0
CMC,2.072,1.121,8.809,0.028,1.262,5.0
VBTX,2.07,1.333,20.396,0.02,1.15,5.0
EBMT,2.07,1.243,16.26,0.018,1.128,5.0
LBC,2.07,1.183,16.18,0.02,1.036,5.0
OCFC,2.068,1.007,9.488,0.028,1.045,5.0
NFG,2.068,1.007,2.922,0.037,1.887,5.0
MLR,2.068,1.088,5.215,0.02,1.596,5.0
EPR,2.067,1.283,7.601,0.069,1.779,5.0
AROW,2.066,1.181,5.81,0.029,1.752,5.0
BXG,2.065,1.507,16.973,0.068,1.68,5.0
UBA,2.064,1.221,14.555,0.062,1.191,5.0
PKBK,2.063,1.012,4.474,0.023,1.576,5.0
KMT,2.062,1.122,4.309,0.026,1.897,5.0
BOH,2.062,1.259,2.957,0.029,2.823,5.0
WGO,2.062,1.039,3.333,0.011,1.913,5.0
KRO,2.06,1.41,10.169,0.053,1.921,5.0
NXST,2.06,1.077,2.47,0.017,2.371,5.0
SBSI,2.059,1.112,7.22,0.036,1.47,5.0
CASH,2.053,1.152,9.241,0.007,1.417,5.0
NFBK,2.049,1.289,22.843,0.026,1.132,5.0
EME,2.049,1.11,2.995,0.004,2.388,5.0
UNF,2.048,1.0,2.421,0.002,2.27,5.0
CINF,2.048,1.061,4.909,0.021,1.748,5.0
LKFN,2.046,1.114,4.402,0.025,2.014,5.0
CRMT,2.043,1.005,2.403,0.0,2.351,5.0
SRG,2.041,1.476,12.752,0.012,2.089,5.0
PKE,2.04,1.314,4.04,0.204,2.928,5.0
FCF,2.039,1.14,12.037,0.028,1.313,5.0
NWFL,2.039,1.083,7.014,0.028,1.582,5.0
MSM,2.037,1.011,2.196,0.031,2.556,5.0
STWD,2.036,1.133,9.757,0.078,1.461,5.0
FLIC,2.033,1.098,8.433,0.029,1.518,5.0
SAH,2.032,1.048,7.934,0.011,1.453,5.0
MGM,2.032,1.362,9.181,0.016,2.168,5.0
FULT,2.031,1.006,10.087,0.032,1.217,5.0
GABC,2.028,1.063,8.096,0.02,1.505,5.0
GNTY,2.028,1.03,8.079,0.021,1.436,5.0
CPF,2.027,1.025,6.766,0.031,1.559,5.0
TEL,2.027,1.043,2.154,0.02,2.852,5.0
PRIM,2.024,1.167,8.695,0.011,1.734,5.0
SCL,2.024,1.172,4.365,0.01,2.469,5.0
FMNB,2.023,1.08,10.105,0.025,1.418,5.0
DIS,2.022,1.034,2.714,0.013,2.568,5.0
BRG,2.021,1.245,7.344,0.054,2.148,5.0
CSL,2.021,1.051,1.728,0.012,3.319,5.0
ALG,2.018,1.039,3.399,0.004,2.352,5.0
GD,2.017,1.024,1.269,0.022,3.779,5.0
PKG,2.017,1.084,1.901,0.029,3.391,5.0
DXPE,2.017,1.229,9.089,0.0,1.93,5.0
RMAX,2.012,1.21,17.911,0.022,1.368,5.0
CBU,2.009,1.068,6.335,0.023,1.882,5.0
EBF,2.007,1.203,10.794,0.044,1.78,5.0
NSC,2.006,1.015,1.816,0.019,3.296,5.0
BRKL,2.006,1.089,13.829,0.028,1.337,5.0
LRCX,2.006,1.095,0.778,0.025,5.696,5.0
SCVL,2.005,1.178,10.984,0.009,1.724,5.0
TLYS,2.003,1.529,25.272,0.092,1.938,5.0
GEO,2.001,1.024,8.027,0.143,1.634,5.0
KAI,1.999,1.082,3.908,0.009,2.571,5.0
MOD,1.993,1.238,20.781,0.002,1.451,5.0
NWBI,1.991,1.051,15.608,0.044,1.281,5.0
KR,1.988,1.018,3.026,0.02,2.809,5.0
BMRC,1.987,1.024,7.445,0.018,1.813,5.0
CNXN,1.987,1.09,6.418,0.007,2.164,5.0
CW,1.986,1.097,2.908,0.005,3.252,5.0
PEG,1.986,1.007,6.117,0.032,1.958,5.0
GTLS,1.985,1.122,15.154,0.0,1.486,5.0
AVGO,1.985,1.052,1.349,0.038,4.491,5.0
BMY,1.984,1.137,9.864,0.027,1.897,5.0
GBCI,1.984,1.113,8.779,0.033,1.943,5.0
BBSI,1.984,1.155,2.632,0.013,3.779,5.0
LSI,1.982,1.004,4.378,0.037,2.355,5.0
CAH,1.98,1.189,10.851,0.046,1.994,5.0
HTBI,1.979,1.145,34.278,0.007,1.059,5.0
WOR,1.977,1.065,4.263,0.023,2.68,5.0
TGNA,1.977,1.01,6.131,0.018,2.062,5.0
WTBA,1.975,1.016,7.859,0.035,1.855,5.0
OXM,1.972,1.014,4.562,0.02,2.467,5.0
ENS,1.969,1.146,6.997,0.009,2.47,5.0
MATX,1.967,1.016,7.537,0.023,1.97,5.0
STX,1.962,1.162,1.462,0.058,5.704,5.0
ESXB,1.962,1.008,19.83,0.015,1.231,5.0
CASY,1.962,1.013,2.691,0.009,3.372,5.0
FDBC,1.961,1.089,7.293,0.016,2.301,5.0
UBFO,1.959,1.024,14.053,0.032,1.52,5.0
LCII,1.958,1.021,3.02,0.024,3.284,5.0
WERN,1.955,1.011,6.265,0.113,2.275,5.0
IBM,1.955,1.085,1.271,0.048,5.658,5.0
ESE,1.947,1.032,6.755,0.004,2.353,5.0
XHR,1.946,1.094,24.77,0.053,1.357,5.0
GILD,1.945,1.125,3.63,0.038,3.728,5.0
EV,1.944,1.15,3.423,0.033,4.013,5.0
DE,1.941,1.089,2.18,0.018,4.65,5.0
WNEB,1.94,1.001,30.491,0.021,1.099,5.0
AGCO,1.938,1.122,12.589,0.008,2.069,5.0
OGE,1.938,1.0,9.106,0.036,2.028,5.0
WABC,1.938,1.081,8.251,0.025,2.408,5.0
