Symbol,Final Weighted Rating,DCF,PEG,Dividend Payout Ratio,P/FV,Graham Ratio,Unweighted Rating
HST,1702320.892037052,209295.9859148333,9.333043253269868e-12,48747.09023688895,1.7461743407569338e-06,1639519.6683333188,5
SMFG,4913.720284426145,10633.384456956912,3.6045979668204535e-05,24.318441492099648,0.0009455561385554935,1716.6369667719612,5
FBP,3041.938043279065,632.1417853746161,1.4475055346187483e-05,13.461928901414094,0.0010120636711633776,2845.2437410192297,5
COP,2325.862264124632,153.88858313736426,1.6753094499788168e-06,22.23902959122609,0.0019281606071867585,2273.015024646805,4
BDGE,2093.214681149581,307.8007999324165,6.136667279581386e-06,28.907782979574467,0.0012816926747044176,1993.8119074245133,5
GSBC,2035.1904397881897,416.4468362786018,2.479609306017277e-06,-33.68079395040446,0.001430305704516587,1903.1023943695611,5
RE,1979.649955992681,1.4738100310893572,4.174586628326833e-06,21.635134436777513,0.0011858877314770459,1972.3268052751557,4
FCCO,1673.1682466687541,422.8246401064203,9.682844308190346e-06,20.813855757335375,0.0013215010732648884,1539.3222802764685,5
NBTB,1318.1481632328928,156.86426661443087,5.586133453412407e-06,26.490842551582297,0.0015501885492374577,1264.3310670354256,5
PAHC,609.827958995354,60.7486825515644,1.1391354853412418e-05,13.523155254589279,0.005502182626206512,585.7435223916386,4
BMI,446.1031875473741,36.15910915964182,3.9295316936257826e-05,10.477402639996692,0.005360747399325819,429.30382315460133,4
MFG,387.6252741177997,1035.6371830002827,0.04270488288364564,2.41145731453497,0.009048487235169666,71.92901373489799,5
HMC,311.47968747595996,71.85987692844512,0.000144114644026123,3.853499455939543,0.006097712072386132,284.2439959315303,4
UHT,244.7717520973366,6.195871957115383,4.821321820195186e-05,23.221671013842602,0.008864814729219628,237.15027029979163,5
OFLX,162.4423814253534,21.17413114949763,2.7799164357409396e-05,48.004088294649236,0.025649644213792736,151.10982294052891,5
SNE,128.04824601018407,36.525308695386535,0.00021052631082936585,0.5763467034950447,0.017630042534304488,112.08783955419636,4
TM,95.69413293629212,21.377100791559027,0.00022552957792583192,1.841354542734308,0.018098899222877666,84.30082094594039,4
VEDL,79.20240443964786,32.170130767124206,0.17845927944788012,1.9516309344450355,0.06151739067296558,65.97263117178059,4
IX,69.65608169427207,17.76948344866596,0.0013028355756121849,0.9217431293301628,0.03311840516878674,60.01631577963833,4
WIT,66.17175761824738,11.426899764033328,0.026773894809607658,0.15973532580592492,0.05987997930525826,58.89240705597155,4
RDY,42.72968187778123,4.774112373224032,0.005295618462873179,0.6399941574980949,0.04460282377463113,37.107385750092206,4
IBN,30.201916917582693,18.61057934354434,0.1176454824523077,0.18311576762866716,0.05586699792454277,21.073866288135495,4
CO,19.939461404521563,14.9745099066972,1.5064814619684965,0.019921580859216317,0.26694099410813643,13.228982858747697,4
HDB,19.602912037061905,5.5054627644005825,0.0647805328058931,0.07867842636348979,0.3193125198174529,15.192647211802676,5
MUR,15.19820616738153,1.3323691792743415,1.3349036627507793,0.04254167915925315,0.7036653834541086,12.949843253536756,4
LND,13.597981497386193,2.660726372025044,0.5726442549570839,0.18062726354395764,0.25778338215569013,10.130633135157844,4
CMCT,12.007081243632918,1.1466562064517147,7.858648714874377,0.06298973439903911,0.7512168965393063,10.230942667107948,4
WMC,10.751840555955877,1.2995057177347866,14.548326423741665,0.11867595043234455,0.9384374962309177,9.058279688867477,4
GNW,10.236556646308273,3.1491266157849203,24.103038314917804,0.04447213871626826,0.13791194924215722,6.821368544082862,4
EFC,9.52197813361757,1.5211144714987022,7.3842066132122515,0.09153357381674541,0.7155204333476031,7.398064399949268,5
GPMT,8.406536602179884,1.4212373868255446,11.54990694675696,0.08957836589389839,0.9454441990568481,6.65783954482693,4
MOD,8.272696558362068,1.2665132777298438,20.780657721400647,0.00232357003627351,1.4509646001123806,6.552815318087582,5
RWT,7.795493603671385,1.3318577858283334,8.21194395102648,0.0787798488021105,0.8992908340543698,6.0094726289226434,4
NWLI,7.564913417280833,1.4664028086638243,0.19284216520635944,0.0014759927517972908,0.40524994561241356,4.618453500985996,4
DXC,7.520158108713309,1.8612845266951856,2.3542423713927305,0.011247921665274298,1.6374421855814767,5.409942542709445,5
HSC,7.432569942106328,1.113308152204833,1.9602486850929979,0.002771531245132763,2.2925958089484615,5.863695460950692,5
PMT,7.2672578472635205,1.1348125714510773,4.109475051967807,0.0783603485665882,0.7341716052984294,5.082736115599761,5
AJX,7.215436950207145,1.4292924330288745,6.000125972762056,0.08791517932329967,0.8319455309795988,5.05543428201931,5
ANAT,6.896537678638607,1.220757590881484,0.8639065466090774,0.02783920858213689,0.5291938102598289,4.4671743408081435,4
CADE,6.881965834346968,2.290200617193208,7.968458931485871,0.04340850786138474,0.8434151459294893,4.366943839610126,5
WES,6.849570076803138,1.0773029966437593,11.900118068086625,0.13145270880035037,2.306841869586319,5.475561669845633,5
PK,6.477735593164375,1.2210085912299191,7.390467486429601,0.0981132075471698,0.7750923645320198,4.291921602344096,5
TSC,6.453316454319303,2.675422366301609,5.70737018227219,0.008573929107702875,1.0800066099558814,3.937712543368734,5
KSS,6.407117738212361,1.3536282354782543,2.59438147019369,0.0367488984517689,1.969364935769857,4.7029907548335075,5
NAVI,6.382157265054787,1.7548994997948975,3.1540572058605263,0.04545735667017131,0.9693645083932855,4.151887636806083,5
LBRT,6.269739490276844,1.473771154491603,9.364481300446911,0.023160387185998534,1.1498825399629073,4.268429750793273,5
AEL,6.244905614035773,2.5292115828273127,2.1710556816061555,0.010169207639685658,0.5875051142825822,3.377874629664417,5
