Symbol,Final Weighted Rating,GPM,ROA,ROE,Gross Profit Growth,Net Income Growth,EPS Growth,Unweighted Rating
GWW,6.495,0.383,0.141,0.458,0.011,0.086,0.114,5.0
FOXF,6.493,0.323,0.153,0.22,0.181,0.107,0.095,5.0
HDS,6.491,0.393,0.093,0.308,0.012,0.147,0.248,5.0
PRAH,6.49,0.279,0.048,0.147,0.206,0.771,0.727,5.0
JBSS,6.483,0.181,0.101,0.155,0.14,0.217,0.211,5.0
CRWS,6.456,0.292,0.092,0.121,0.128,0.661,0.667,5.0
TDY,6.443,0.393,0.088,0.148,0.119,0.205,0.189,5.0
UONE,6.422,0.714,0.114,0.789,0.013,0.26,0.241,5.0
SHW,6.415,0.449,0.075,0.374,0.083,0.39,0.409,5.0
AHH,6.412,0.414,0.013,0.059,0.312,0.398,0.139,5.0
SAFT,6.408,0.419,0.049,0.123,0.048,0.197,0.19,5.0
CRMT,6.407,0.363,0.097,0.183,0.092,0.305,0.387,5.0
KEN,6.404,0.205,0.298,0.669,0.091,0.835,0.834,5.0
CIX,6.402,0.314,0.09,0.099,0.018,0.044,0.049,5.0
AJG,6.396,0.7,0.034,0.13,0.142,0.056,0.037,5.0
SBRA,6.39,0.921,0.042,0.086,0.48,0.762,0.079,5.0
EBF,6.381,0.308,0.103,0.129,0.055,0.138,0.115,5.0
MGRC,6.376,0.467,0.074,0.153,0.141,0.219,0.213,5.0
CAMT,6.373,0.494,0.132,0.185,0.336,0.342,0.3,5.0
CDW,6.372,0.169,0.092,0.767,0.123,0.146,0.192,5.0
CRVL,6.372,0.21,0.147,0.24,0.164,0.308,0.305,5.0
DCI,6.37,0.333,0.125,0.299,0.014,0.482,0.507,5.0
TILE,6.351,0.391,0.056,0.215,0.238,0.576,0.595,5.0
TBK,6.351,1.0,0.012,0.092,0.304,0.132,0.097,5.0
CASS,6.35,1.0,0.018,0.132,0.096,0.21,0.212,5.0
FSV,6.338,0.316,0.065,0.279,0.131,0.28,0.28,5.0
NOMD,6.338,0.301,0.032,0.083,0.044,0.201,0.191,5.0
OEC,6.332,0.272,0.095,0.763,0.09,0.791,0.792,5.0
UFPT,6.327,0.272,0.105,0.122,0.117,0.38,0.364,5.0
BR,6.318,0.272,0.124,0.428,0.06,0.127,0.137,5.0
VSEC,6.312,0.573,0.044,0.102,0.097,0.055,0.046,5.0
EC,6.307,0.4,0.091,0.206,0.322,0.456,0.456,5.0
TD,6.287,1.0,0.008,0.142,0.057,0.06,0.075,5.0
RS,6.28,0.303,0.086,0.135,0.015,0.107,0.185,5.0
LDOS,6.278,0.148,0.066,0.176,0.206,0.587,0.598,5.0
TRU,6.27,0.671,0.049,0.154,0.167,0.254,0.233,5.0
HXL,6.269,0.272,0.098,0.212,0.103,0.108,0.148,5.0
PAYX,6.25,0.688,0.119,0.395,0.098,0.108,0.108,5.0
BLD,6.247,0.26,0.073,0.166,0.182,0.417,0.464,5.0
FSS,6.229,0.264,0.093,0.169,0.144,0.154,0.146,5.0
REGI,6.227,0.201,0.213,0.336,0.262,0.3,0.432,5.0
SSD,6.226,0.433,0.122,0.15,0.024,0.058,0.095,5.0
DE,6.225,0.96,0.045,0.285,0.048,0.374,0.401,5.0
OGE,6.222,0.647,0.039,0.105,0.049,0.019,0.019,5.0
RMD,6.221,0.59,0.098,0.195,0.128,0.282,0.281,5.0
FFNW,6.217,1.0,0.012,0.097,0.195,0.757,0.756,5.0
CM,6.217,1.0,0.009,0.151,0.078,0.096,0.021,5.0
WSO,6.214,0.246,0.112,0.18,0.051,0.167,0.119,5.0
ROIC,6.213,0.852,0.014,0.036,0.076,0.111,0.086,5.0
BOOM,6.213,0.365,0.123,0.198,0.309,0.117,0.117,5.0
TTD,6.207,0.764,0.063,0.177,0.39,0.229,0.168,5.0
ADP,6.204,0.42,0.055,0.425,0.11,0.415,0.432,5.0
ITRN,6.202,0.503,0.162,0.395,0.067,0.386,0.378,5.0
PSA,6.2,0.544,0.157,0.188,0.028,0.186,0.268,5.0
RY,6.199,0.937,0.009,0.155,0.044,0.068,0.088,5.0
EME,6.195,0.148,0.067,0.158,0.125,0.147,0.184,5.0
BNS,6.194,1.0,0.009,0.131,0.043,0.045,0.036,5.0
ROK,6.185,0.433,0.114,1.721,0.01,0.299,0.377,5.0
KO,6.163,0.608,0.103,0.47,0.128,0.386,0.384,5.0
IOSP,6.157,0.295,0.058,0.103,0.079,0.375,0.359,5.0
WST,6.153,0.329,0.103,0.154,0.111,0.168,0.168,5.0
BRKR,6.15,0.48,0.071,0.217,0.106,0.097,0.104,5.0
WMS,6.148,0.236,0.075,0.202,0.081,0.254,0.23,5.0
BMO,6.146,1.0,0.007,0.119,0.018,0.003,0.014,5.0
ALGN,6.142,0.725,0.177,0.329,0.204,0.106,0.114,5.0
DORM,6.139,0.383,0.151,0.184,0.041,0.253,0.287,5.0
CHKP,6.135,0.895,0.141,0.218,0.045,0.023,0.063,5.0
ROLL,6.134,0.394,0.092,0.109,0.072,0.207,0.187,5.0
UNF,6.133,0.37,0.087,0.109,0.048,0.093,0.128,5.0
FBHS,6.122,0.356,0.069,0.178,0.047,0.109,0.149,5.0
FUNC,6.109,0.596,0.009,0.104,0.051,0.231,0.225,5.0
CTAS,6.107,0.454,0.119,0.295,0.076,0.05,0.06,5.0
ENS,6.107,0.247,0.051,0.125,0.055,0.34,0.349,5.0
CNXN,6.104,0.16,0.088,0.137,0.098,0.271,0.289,5.0
WRB,6.101,0.483,0.026,0.118,0.009,0.167,0.15,5.0
GD,6.094,0.179,0.071,0.257,0.051,0.042,0.067,5.0
ATR,6.085,0.289,0.068,0.154,0.099,0.244,0.221,5.0
CW,6.08,0.361,0.082,0.173,0.032,0.115,0.146,5.0
DOV,6.064,0.689,0.078,0.224,0.024,0.189,0.229,5.0
GNRC,6.064,0.362,0.095,0.244,0.1,0.058,0.146,5.0
TRNS,6.05,0.245,0.068,0.12,0.051,0.207,0.193,5.0
FGBI,6.045,1.0,0.008,0.097,0.057,0.209,0.175,5.0
HRZN,6.042,0.75,0.049,0.097,0.145,0.356,0.361,5.0
LEG,6.04,0.208,0.091,0.265,0.024,0.046,0.06,5.0
TRV,6.038,0.394,0.024,0.101,0.038,0.039,0.068,5.0
CMC,6.032,0.138,0.053,0.122,0.291,0.43,0.412,5.0
BLDR,6.028,0.272,0.068,0.269,0.028,0.081,0.073,5.0
VMC,6.017,0.255,0.058,0.11,0.141,0.197,0.197,5.0
MIDD,6.015,0.373,0.07,0.181,0.099,0.111,0.109,5.0
PEG,6.015,0.665,0.035,0.112,0.036,0.177,0.175,5.0
BCPC,6.011,0.328,0.069,0.107,0.035,0.014,0.012,5.0
PBHC,6.01,1.0,0.004,0.063,0.105,0.155,0.128,5.0
MVBF,6.004,1.0,0.007,0.068,0.066,0.627,0.507,5.0
WVFC,5.992,1.0,0.008,0.078,0.079,0.315,0.353,5.0
ASGN,5.99,0.288,0.059,0.127,0.104,0.108,0.111,5.0
PRIM,5.985,0.107,0.045,0.131,0.016,0.063,0.073,5.0
ACN,5.982,0.308,0.16,0.332,0.07,0.177,0.159,5.0
OFS,5.972,0.75,0.022,0.055,0.261,0.21,0.125,5.0
PLUS,5.965,0.241,0.08,0.149,0.021,0.146,0.175,5.0
BBSI,5.963,0.221,0.056,0.281,0.116,0.269,0.251,5.0
GIII,5.963,0.354,0.056,0.111,0.01,0.042,0.06,5.0
DXPE,5.962,0.274,0.046,0.105,0.045,0.011,0.01,5.0
DG,5.962,0.305,0.12,0.248,0.088,0.077,0.115,5.0
HDB,5.951,1.0,0.017,0.135,0.102,0.16,0.117,5.0
ROCK,5.942,0.234,0.066,0.097,0.01,0.02,0.005,5.0
NWE,5.934,0.747,0.034,0.099,0.023,0.026,0.018,5.0
TTEK,5.887,0.131,0.074,0.16,0.062,0.159,0.175,5.0
FDUS,5.884,0.69,0.071,0.123,0.101,0.125,0.08,5.0
IR,5.872,0.308,0.075,0.19,0.099,0.027,0.059,5.0
TECD,5.859,0.062,0.028,0.12,0.019,0.1,0.158,5.0
WEC,5.854,0.644,0.032,0.112,0.013,0.071,0.071,5.0
NGVT,5.846,0.373,0.086,0.346,0.156,0.086,0.092,5.0
G,5.839,0.36,0.08,0.201,0.022,0.072,0.088,5.0
ATI,5.776,0.155,0.046,0.123,0.012,0.158,0.152,5.0
VFC,5.769,0.507,0.122,0.293,0.009,0.029,0.028,5.0
GEO,5.767,0.249,0.039,0.167,0.072,0.148,0.157,5.0
SQM,5.65,0.345,0.103,0.211,0.026,0.028,0.028,5.0
CBRE,5.618,0.218,0.079,0.206,0.064,0.206,0.22,5.0
IPG,5.616,0.146,0.037,0.236,0.083,0.06,0.056,5.0
VTR,5.479,0.161,0.018,0.04,0.004,0.058,0.026,5.0
